id,manufacturer,source,catalog_id,model,part_num,nsn,uom,expires,delivery,markup,fr_cost,sale_price
,3M,OEM,8,"Smart Battery Charger, Single Unit",BC-210,,Ea.,,30 Days,0.15,133.79,153.86
,3M,OEM,8,3m Spectacle Kit 6878 ,6878,,Ea.,,30 Days,0.15,57.59,66.23
,3M,OEM,8,"Full Facepiece Silicone Respirator, Lg",7800S-L,,Ea.,,30 Days,0.15,214.53,246.71
,3M,OEM,8,"Full Facepiece Silicone Respirator, Md",7800S-M,,Ea.,,30 Days,0.15,214.53,246.71
,3M,OEM,8,"Full Facepiece Silicone Respirator, Sm",7800S-S,,Ea.,,30 Days,0.15,214.53,246.71
,3M,OEM,8,Lithium Battery ,520-04-57R01,,Ea.,,30 Days,0.15,213.32,245.32
,3M,OEM,8,Nimh Rechargeable Battery Pack For Be-10 And Fr40l6(x) Paprs ,BP-15,,Ea.,,30 Days,0.15,217.5,250.13
,3M,OEM,8,Papr Breath Easy 10 ,57N10,,Ea.,,30 Days,0.15,858.39,987.15
,3M,OEM,8,"3m, Multi Gas/vapor Cartridge P1oo, 30 Packs Of 2 Per Case ",6003,,Ea.,,30 Days,0.15,213.3,245.3
,3M,OEM,8,"3m, Organic Vapor Cartidge, 30 Packs Of 2 Per Case ",6001,,Ea.,,30 Days,0.15,196.8,226.32
,3M,OEM,8,C2a1 Filter Canister ,C2A1,,Ea.,,30 Days,0.15,36.02,41.42
,3M,OEM,8,Papr Rapid Response Powered Air System (rrpas) - Medium ,40L68,,Ea.,,30 Days,0.15,1007.92,1159.11
,3M,OEM,8,"Rrpas, Rapid Response Powered Air Purifying System, 3m, Med ",FR-57L68,,Ea.,,30 Days,0.15,1085.31,1248.11
,3M,OEM,8,"Rrpas, Rapid Response Powered Air Purifying System, 3m, Lg ",FR-57L69,,Ea.,,30 Days,0.15,1085.31,1248.11
,Generic,OEM,8,"Chair, Folding, Set Of 4",998006245,,Ea.,,30 Days,0.2,79.99,95.99
,Generic,OEM,8,"Funnel, Plastic, 1-1/2 Qt.",2147002660,,Ea.,,30 Days,0.2,8.99,10.79
,Generic,OEM,8,"17002 Ribbon, Flagging, Surveyor Fts, Red, Pack Of 12 Rolls",20924,,Ea.,,30 Days,0.2,15.99,19.19
,Generic,OEM,8,"17023 Ribbon, Flagging, Surveyor Fts, Blue, Pack Of 12 Rolls",20910,,Ea.,,30 Days,0.2,15.99,19.19
,Generic,OEM,8,"17024 Ribbon, Flagging, Surveyor Fts, Yellow, Pack Of 12 Rolls",20912,,Ea.,,30 Days,0.2,15.99,19.19
,Generic,OEM,8,"Tape, Masking; 1.89 In X 60 Yds",1000003174,,Ea.,,30 Days,0.2,10.99,13.19
,Generic,OEM,8,"Cable, Telephone, Field Wire",6145-01-155-4256,,Ea.,,30 Days,0.2,825,990
,Generic,OEM,8,"Jerrican, Water, Plastic",7240-00-089-3827,,Ea.,,30 Days,0.2,25,30
,Generic,OEM,8,"Shovel, Entrenching",5120-00-878-5932,,Ea.,,30 Days,0.2,98,117.6
,Generic,OEM,8,"Carrier, Entrenching Tool",8465-00-001-6474,,Ea.,,30 Days,0.2,4.5,5.4
,Generic,OEM,8,"Scissors, Bandage",6515-00-935-7138,,Ea.,,30 Days,0.2,9.5,11.4
,Generic,OEM,8,"Spout, Can, Flex, 16 In Long",7240-00-177-6154,,Ea.,,30 Days,0.2,15.75,18.9
,Generic,OEM,8,"Jerrican, Plastic, Fuel",7240-01-337-5269,,Ea.,,30 Days,0.2,62.5,75
,Generic,OEM,8,"Tape, Od Green Duct (60 Yds)",7510-00-266-5016,,Ea.,,30 Days,0.2,15.98,19.18
,Generic,OEM,8,"Sand Bags, Filled With Sand, Wt. 35# Each, 100/unit",8105-00-285-4744,,Ea.,,30 Days,0.2,825,990
,Generic,OEM,8,"Sand Bags, No Sand, Bags Only, 10 Oz. Wt., 100/unit",8105-00-285-4744,,Ea.,,30 Days,0.2,80,96
,Generic,OEM,8,"Sign Kit, Contamination, M274",9905-01-346-4716,,Ea.,,30 Days,0.2,325,390
,Generic,OEM,8,"Koolatron P95 Thermoelectric Cooler, 45 Qt",B000Q754E4,,Ea.,,30 Days,0.2,149.99,179.99
,Generic,OEM,8,"Dot Emergency Response Book, 1 Of 4",9781437906233,,Ea.,,30 Days,0.2,39.25,47.1
,Generic,OEM,8,"Niosh Pocket Guide, 3 Of 4",9781598040524,,Ea.,,30 Days,0.2,32.63,39.16
,Generic,OEM,8,"Hazardous Materials Reference Book: Cross-index, 4 Of 4",9780471286813,,Ea.,,30 Days,0.2,114.41,137.29
,Generic,OEM,8,"30 Minute Economy Stop Watch 1/5 Second, 60 Second Sweep",B001LGGISK,,Ea.,,30 Days,0.2,48.5,58.2
,Generic,OEM,8,Ampli Wireless Handheld Portable Public Address Set,AMSW223,,Ea.,,30 Days,0.2,474.95,569.94
,Generic,OEM,8,"Canon Zr-960 Mini-dv Camcorder, Digital",CAZR960,,Ea.,,30 Days,0.2,249.99,299.99
,Generic,OEM,8,"Konustar 11 Prof. Geology Compass, Magnetic, Unmounted",KOKS11PGCG,,Ea.,,30 Days,0.2,24.95,29.94
,Generic,OEM,8,"Nikon 7x50 Action Ex Extremem Binocular, Prism Type, Individual",7239,,Ea.,,30 Days,0.2,124.99,149.99
,Generic,OEM,8,"Laser Range Finder, 8x30, 1500 Yard, Non-reflective Target, W/ Holster",SW8X30LG,,Ea.,,30 Days,0.2,999,1198.8
,Generic,OEM,8,Velbon Videomate 607 Tripod W/ph 368 Head/case,VEV607,,Ea.,,30 Days,0.2,64.99,77.99
,Generic,OEM,8,"Lowepro Edit 110 Camera Case, Black",LOE110B,,Ea.,,30 Days,0.2,16.89,20.27
,Best Buy,OEM,8,"Sx210is Canon Powershot 14.1 Megapixel Digital Camera, Black",9770402,,Ea.,,30 Days,0.2,248.99,298.79
,Best Gloves,OEM,8,Best Butyl 14mil (medium) ,874R-8,,Ea.,,30 Days,0.2,17.8,21.36
,Best Gloves,OEM,8,Best Butyl 14mil (large) ,874R-9,,Ea.,,30 Days,0.2,17.8,21.36
,Best Gloves,OEM,8,Best Butyl 14mil (xl) ,874R-10,,Ea.,,30 Days,0.2,17.8,21.36
,Best Gloves,OEM,8,Best Butyl 14mil (2xl) ,874R-11,,Ea.,,30 Days,0.2,17.8,21.36
,Best Gloves,OEM,8,"Gloves, Patient Examining, 100/box",700PF-XL,,Ea.,,30 Days,0.2,7.75,9.3
,Best Gloves,OEM,8,"Gloves, Chemical Protective, 14 In Black Rubber",874R-10,,Ea.,,30 Days,0.2,17.8,21.36
,Generic,OEM,8,"(replaces Cf30 Toughbook) Cf-31 Description: Windows 7 Professional, Intel Core I5-520m 2.40ghz, 13.1"" Xga Touchscreen Lcd, 160gb Shock-mounted Hdd, 2gb, Wi-fi, Bluetooth, Single Pass (wwan), Tpm 1.2, Toughbook Preferred; Status:stock 12/16/10.",CF-31BTAAX1M,,Ea.,,30 Days,0.15,3998.29,4598.03
,Generic,OEM,8,"(replaces Cf30 Toughbook) Cf-31 Description: **special Federal Model**, Windows 7 Professional, Intel Core I5-520m 2.40ghz, 13.1"" Xga Touchscreen Lcd, 160gb Shock-mounted Hdd, 2gb, No Wi-fi, No Bluetooth, Single Pass (wwan), Tpm 1.2, Toughbook Preferred; Status:up To 4 To 6 Week Build Time. ",CF-31BTAAZ1M,,Ea.,,30 Days,0.15,3998.29,4598.03
,Generic,OEM,8,"Decon Kit, Individual Equipment, M295 (come In Case Lots Of 20 Kits Only)",6850-01-357-8456,,Ea.,,30 Days,0.15,749,861.35
,Generic,OEM,8,"Tarp, All Purpose, Brown, 8 Ft X 10 Ft",8340-00-NSL-0001,,Ea.,,30 Days,0.15,14.33,16.48
,Generic,OEM,8,"Tarp, All Purpose, Brown, 16 Ft X 20 Ft",8340-00-NSL-0003,,Ea.,,30 Days,0.15,58.88,67.71
,Generic,OEM,8,"Tent, 10 Ft X 10 Ft",8340-00-NSL-0021,,Ea.,,30 Days,0.15,130,149.5
,Canberra,OEM,8,"An/pdr-77 - Military Radiac For Alpha, Beta, Gamma And X-ray Radiation Detection. ",AN-PDR-77,,Ea.,,30 Days,0.19,7705,9171.68
,Canberra,OEM,8,An/udr-13 - Tactical Device Capable Of Measuring Prompt Gamma/neutron Dose From A Nuclear Event Plus Gamma Dose And Dose-rate From A Fallout Environment In A Tactical Battlefield Situation. ,AN-UDR-13,,Ea.,,30 Days,0.19,791,941.61
,Canberra,OEM,8,An/udr - High Sensitivity Military Pocket Radiac ,AN-UDR-14,,Ea.,,30 Days,0.15,791,913
,Canberra,OEM,8,"Radiac Set, Adm 300, Kit C",6665-01-320-4712,,Ea.,,30 Days,0.11,6228,6920
,Canberra,OEM,8,"Verification Kit, Radiac, Adm 300, Kit E",6665-01-426-5071,,Ea.,,30 Days,0.11,824,915
,Coast Environmental,OEM,8,Weatherpak Mtr (replaces Weatherpak 400 Trx) ,S80110,,Ea.,,30 Days,0.09,14891,16231.19
,Generic,OEM,8,Fire Extinguisher; Kidde; 5 Lb; A-b-c Fires,466112,,Ea.,,30 Days,0.18,55.36,65.32
