id,manufacturer,source,catalog_id,model,part_num,nsn,uom,expires,delivery,markup,fr_cost,sell_price
,ICX,OEM,12,"Agentase CAD Kit
Standard kit: Contains 1 - nerve agent sensor (G&V); 1 blood agent sensor (AC); 1 blister agent sensor (HD); 1 aldehyde sensor; 1 acid/base sensor; 1 oxidizer sensor; sampler; and case.",110-1110-002,,Ea.,,30-45 Days,,150.4,188
,ICX,OEM,12,"Agentase Nerve Agent Kit (Contains: 5 nerve agent sensors, sampler; and case)",110-1108-002,,Ea.,,30-45 Days,,257.6,322
,ICX,OEM,12,"Hospital Readiness Kit
Contains: 5 Agentase CAD Kits, 5 nerve agent sensor 5 packs, 5 blood (AC) agent sensor 5 packs, 5 blister (HD) agent sensor 5 packs, 5 aldehyde sensor 5 packs, 5 acid/base sensor 5 packs, 5 oxidizer sensor 5 packs and 2 Hospital Training Kits",110-1110-003,,Ea.,,30-45 Days,,4679.2,5849
,ICX,OEM,12,"Post Decon Detection Kit
Contains: Agentase CAD Kit sensors; 5 nerve agent sensor 5 packs, 5 blood (AC) agent sensor 5 packs,  5 blister (HD) agent sensor 5 packs,  5 aldehyde sensor 5 packs, 5 acid/base sensor 5 packs, and 5 oxidizer sensor 5 packs. ",110-1110-004,,Ea.,,30-45 Days,,3184,3980
,ICX,OEM,12,"Response Readiness Kit
Contains: 5 Agentase CAD Kits, 5 nerve agent sensor 5 packs, 5 blood (AC) agent sensor 5 packs,  5 blister (HD) agent sensor 5 packs,  5 aldehyde sensor 5 packs, 5 acid/base sensor 5 packs, and 5 oxidizer sensor 5 packs, and 2 Mock Disaster training Kits.",110-1110-005,,Ea.,,30-45 Days,,4888.8,6111
,ICX,OEM,12,Nerve Agent Sensors (Contains: 5 Agentase CAD Kit nerve agent sensors),111-1108-001,,Ea.,,30-45 Days,,235.2,294
,ICX,OEM,12,Blood Agent Sensors - Hydrogen Cyanide (AC) (Contains: 5 Agentase CAD Kit AC sensors),113-1108-001,,Ea.,,30-45 Days,,99.2,124
,ICX,OEM,12,Blister Agent Sensors - Sulfur Mustard (HD) (Contains: 5 Agentase CAD Kit HD sensors),115-1108-001,,Ea.,,30-45 Days,,99.2,124
,ICX,OEM,12,Sampler 5 Pack (Contains: 5 Agentase CAD Kit sampler devices),116-1108-001,,Ea.,,30-45 Days,,45.6,57
,ICX,OEM,12,Oxidizer Sensors (Contains: 5 Agentase CAD Kit oxidizer sensors),118-1110-001,,Ea.,,30-45 Days,,85.6,107
,ICX,OEM,12,Acid/Base Sensors (Contains: 5 Agentase CAD Kit acid/base sensors),118-1110-002,,Ea.,,30-45 Days,,85.6,107
,ICX,OEM,12,Aldehyde Sensors (Contains: 5 Agentase CAD Kit aldehyde sensors),118-1110-003,,Ea.,,30-45 Days,,85.6,107
,ICX,OEM,12,Agentase Disclosure Spray (Nerve Agent),116-1110-001,,Ea.,,30-45 Days,,345.6,432
,ICX,OEM,12,Agentase Disclosure Spray (Blister Agent),117-1110-001,,Ea.,,30-45 Days,,315.2,394
,ICX,OEM,12,Training Video (CD carrying detailed product instructions Agentase CAD Kit),902-4108-001,,Ea.,,30-45 Days,,8.8,11
,ICX,OEM,12,"Classroom Training Kit CTK (Contains: 5 Agentase CAD Kit training Sensors, 2oz simulant, sampler and case.)",904-1108-001,,Ea.,,30-45 Days,,110.4,138
,ICX,OEM,12,Training Sensors (Contains: 5 Agentase CAD Kit Training Sensors with 2 oz simulant bottle),905-1108-001,,Ea.,,30-45 Days,,83.2,104
,ICX,OEM,12,"Mock Disaster Kit - MDK (Contains: 20 Agentase CAD Kit training sensors, 10 samplers, 2ea 16 oz simulant)",906-1108-001,,Ea.,,30-45 Days,,476.8,596
,ICX,OEM,12,"Mass Casualty Kit - MCK (Contains: 100 Agentase CAD Kit training sensors, 50 samplers, 10ea 16 oz simulant)",907-1108-001,,Ea.,,30-45 Days,,2184,2730
