id,manufacturer,source,catalog_id,model,part_num,nsn,uom,expires,delivery,markup,fr_cost,sell_price
,Anachemia,OEM,2.0,M256a1 Chemical Agent Detection Kit ,FR-061230COM,,Ea.,,30 Days,,236.24,286.05
,Anachemia,OEM,2.0,M256a1 Chemical Detection Training Kit Simulator,FR-067230COM,,Ea.,,30 Days,,579.68,701.9
,Anachemia,OEM,2.0,"C8 Chemcial Liquid Detector - Commercial Equivalent Of Military Detector Papers From A Booklet To Determine Presence Of G, V, Or H Agents In Liquid.",FR-081030COM,,Ea.,,30 Days,,10.21,12.25
,Anachemia,OEM,2.0,"C9 Chemcial Liquid Detector - Commercial Equivalent Of Military Detector Papers From A Dispenser Roll To Determine Presence Of G, V, Or H Agents In Liquid.",FR-091402COM,,Ea.,,30 Days,,24.16,29.64
,Avon,OEM,2.0,Fm53 Mask Assembly Rh Lge,FR-72501/1,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Rh Med,FR-72501/3,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Rh Sml,FR-72501/5,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Rh Xs,FR-72501/7,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Lh Lge,FR-72501/2,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Lh Med,FR-72501/4,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Lh Sml,FR-72501/6,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Lh Xs,FR-72501/8,,Ea.,,45 Days,,347.75,458.16
,Avon,OEM,2.0,Fm53 Mask Assembly Twinport Lge,FR-72501/9,,Ea.,,45 Days,,380.25,500.98
,Avon,OEM,2.0,Fm53 Mask Assembly Twinport Med,FR-72501/10,,Ea.,,45 Days,,380.25,500.98
,Avon,OEM,2.0,Fm53 Mask Assembly Twinport Sml,FR-72501/11,,Ea.,,45 Days,,380.25,500.98
,Avon,OEM,2.0,Fm53 Mask Assembly Twinport Xs,FR-72501/12,,Ea.,,45 Days,,380.25,500.98
,Avon,OEM,2.0,Fm53 Mask System Rh Lge,FR-72553/1,,Ea.,,45 Days,,874.25,1151.82
,Avon,OEM,2.0,Fm53 Mask System Rh Med,FR-72553/3,,Ea.,,45 Days,,874.25,1151.82
,Avon,OEM,2.0,Fm53 Mask System Rh Sml,FR-72553/5,,Ea.,,45 Days,,874.25,1151.82
